Mood,Bipolar Stage,Recommended Activities,Activity Description,Activity Type,Duration (minutes),Gender,Age Range,Image URL
Angry,Hypomania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Calm,Depression,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Neutral,Mixed Episodes,Socializing,Engage in conversations with friends or family to boost mood.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Surprise,Depression,Socializing,Engage in conversations with friends or family to boost mood.,happiness,20,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Socializing%20M.webp?alt=media
Anxious,Euthymia,Cooking,Engage in preparing food as a relaxing and creative activity.,happiness,45,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Cooking%20M.webp?alt=media
Anxious,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,15,Female,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20F.webp?alt=media
Neutral,Mania,Journaling,Write down your thoughts and feelings to process emotions.,other,30,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20F.webp?alt=media
Neutral,Mixed Episodes,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Happy,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
Anxious,Euthymia,Light exercise,Engage in moderate physical activities to improve mood and energy.,physical,45,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Light%20exercise%20M.webp?alt=media
Happy,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,45,Male,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Surprise,Hypomania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20F.webp?alt=media
Surprise,Euthymia,Art therapy,Use creative activities like drawing or painting to express emotions and relieve stress.,happiness,10,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Art%20therapy%20M.webp?alt=media
Anxious,Euthymia,Mindful walking,Draw freely to express inner thoughts and feelings.,physical,30,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Mindful%20walking%20F.webp?alt=media
Anxious,Depression,Taking a Warm Bath,Soak in warm water to relax your muscles and calm your mind.,happiness,45,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Taking%20a%20Warm%20Bath%20M.webp?alt=media
Neutral,Depression,Journaling,Write down your thoughts and feelings to process emotions.,other,15,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Journaling%20M.webp?alt=media
Calm,Euthymia,Gardening,Plant and tend to plants to enjoy nature and reduce stress.,physical,20,Female,16-30,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Gardening%20F.webp?alt=media
Neutral,Mania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,45,Female,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20F.webp?alt=media
Sad,Depression,Meditate,"Sit quietly, focus on your breath, and clear your mind.",routine,10,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Meditate%20M.webp?alt=media
Fear,Mania,Reading,Read a book or article to engage your mind in a relaxed way.,happiness,45,Male,46-60,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Reading%20M.webp?alt=media
Irritable,Hypomania,Listen to soothing music,Listen to calming music to relax and reduce stress.,happiness,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Listen%20to%20soothing%20music%20M.webp?alt=media
Sad,Mania,Deep breathing exercises,"Focus on slow, deep breaths to reduce stress and promote relaxation.",physical,30,Male,31-45,https://firebasestorage.googleapis.com/v0/b/bipolarapp-f9311.firebasestorage.app/o/Deep%20breathing%20exercises%20M.webp?alt=media
